,name,model,manufacturer,cost_in_credits,length,max_atmosphering_speed,crew,passengers,cargo_capacity,consumables,hyperdrive_rating,MGLT,starship_class,people_capacity,cost_per_person
1,Sentinel-class landing craft,Sentinel-class landing craft,"Sienar Fleet Systems, Cyngus Spaceworks",240000.0,38,1000,5.0,75.0,180000.0,1 month,1.0,70.0,landing craft,80.0,3000.0
3,Millennium Falcon,YT-1300 light freighter,Corellian Engineering Corporation,100000.0,34.37,1050,4.0,6.0,100000.0,2 months,0.5,75.0,Light freighter,10.0,10000.0
4,Y-wing,BTL Y-wing,Koensayr Manufacturing,134999.0,14,1000km,2.0,0.0,110.0,1 week,1.0,80.0,assault starfighter,2.0,67499.5
5,X-wing,T-65 X-wing,Incom Corporation,149999.0,12.5,1050,1.0,0.0,110.0,1 week,1.0,100.0,Starfighter,1.0,149999.0
6,TIE Advanced x1,Twin Ion Engine Advanced x1,Sienar Fleet Systems,,9.2,1200,1.0,0.0,150.0,5 days,1.0,105.0,Starfighter,1.0,
10,Calamari Cruiser,MC80 Liberty type Star Cruiser,Mon Calamari shipyards,104000000.0,1200,,5400.0,1200.0,,2 years,1.0,60.0,Star Cruiser,6600.0,15757.575757575758
11,A-wing,RZ-1 A-wing Interceptor,"Alliance Underground Engineering, Incom Corporation",175000.0,9.6,1300,1.0,0.0,40.0,1 week,1.0,120.0,Starfighter,1.0,175000.0
12,B-wing,A/SF-01 B-wing starfighter,Slayn & Korpil,220000.0,16.9,950,1.0,0.0,45.0,1 week,2.0,91.0,Assault Starfighter,1.0,220000.0
14,Naboo fighter,N-1 starfighter,Theed Palace Space Vessel Engineering Corps,200000.0,11,1100,1.0,0.0,65.0,7 days,1.0,,Starfighter,1.0,200000.0
15,Naboo Royal Starship,J-type 327 Nubian royal starship,"Theed Palace Space Vessel Engineering Corps, Nubia Star Drives",,76,920,8.0,,,,1.8,,yacht,,
16,Scimitar,Star Courier,Republic Sienar Systems,55000000.0,26.5,1180,1.0,6.0,2500000.0,30 days,1.5,,Space Transport,7.0,7857142.857142857
17,J-type diplomatic barge,J-type diplomatic barge,"Theed Palace Space Vessel Engineering Corps, Nubia Star Drives",2000000.0,39,2000,5.0,10.0,,1 year,0.7,,Diplomatic barge,15.0,133333.33333333334
18,AA-9 Coruscant freighter,Botajef AA-9 Freighter-Liner,Botajef Shipyards,,390,,,30000.0,,,,,freighter,,
20,H-type Nubian yacht,H-type Nubian yacht,Theed Palace Space Vessel Engineering Corps,,47.9,8000,4.0,,,,0.9,,yacht,,
22,Trade Federation cruiser,Providence-class carrier/destroyer,"Rendili StarDrive, Free Dac Volunteers Engineering corps.",125000000.0,1088,1050,600.0,48247.0,50000000.0,4 years,1.5,,capital ship,48847.0,2559.0107887894856
23,Theta-class T-2c shuttle,Theta-class T-2c shuttle,Cygnus Spaceworks,1000000.0,18.5,2000,5.0,16.0,50000.0,56 days,1.0,,transport,21.0,47619.04761904762
24,T-70 X-wing fighter,T-70 X-wing fighter,Incom,,,,1.0,,,,,,fighter,,
26,Droid control ship,Lucrehulk-class Droid Control Ship,"Hoersch-Kessel Drive, Inc.",,3170,,175.0,139000.0,4000000000.0,500 days,2.0,,Droid control ship,139175.0,
28,Solar Sailer,Punworcca 116-class interstellar sloop,Huppla Pasa Tisc Shipwrights Collective,35700.0,15.2,1600,3.0,11.0,240.0,7 days,1.5,,yacht,14.0,2550.0
30,Naboo star skiff,J-type star skiff,"Theed Palace Space Vessel Engineering Corps/Nubia Star Drives, Incorporated",,29.2,1050,3.0,3.0,,,0.5,,yacht,6.0,
32,arc-170,Aggressive Reconnaissance-170 starfighte,"Incom Corporation, Subpro Corporation",155000.0,14.5,1000,3.0,0.0,110.0,5 days,1.0,100.0,starfighter,3.0,51666.666666666664
33,Belbullab-22 starfighter,Belbullab-22 starfighter,Feethan Ottraw Scalable Assemblies,168000.0,6.71,1100,1.0,0.0,140.0,7 days,6.0,,starfighter,1.0,168000.0
35,CR90 corvette,CR90 corvette,Corellian Engineering Corporation,3500000.0,150,950,165.0,600.0,3000000.0,1 year,2.0,60.0,corvette,765.0,4575.16339869281
36,Banking clan frigate,Munificent-class star frigate,"Hoersch-Kessel Drive, Inc, Gwori Revolutionary Industries",57000000.0,825,,200.0,,40000000.0,2 years,1.0,,cruiser,,
